13.280000,24.000000
13.3,16.0
13.32,23.0
13.34,25.0
13.36,28.0
13.38,19.0
13.4,21.0
13.42,11.0
13.44,17.0
13.46,24.0
13.48,19.0
13.5,19.0
13.52,26.0
13.54,25.0
13.56,21.0
13.58,13.0
13.6,18.0
13.62,26.0
13.64,25.0
13.66,18.0
13.68,19.0
13.7,14.0
13.72,26.0
13.74,19.0
13.76,30.0
13.78,25.0
13.8,30.0
13.82,19.0
13.84,18.0
13.86,19.0
13.88,21.0
13.9,22.0
13.92,19.0
13.94,23.0
13.96,26.0
13.98,24.0
14.0,19.0
14.02,14.0
14.04,26.0
14.06,19.0
14.08,18.0
14.1,19.0
14.12,15.0
14.14,20.0
14.16,17.0
14.18,16.0
14.2,18.0
14.22,17.0
14.24,18.0
14.26,16.0
14.28,28.0
14.3,29.0
14.32,22.0
14.34,20.0
14.36,15.0
14.38,20.0
14.4,20.0
14.42,21.0
14.44,14.0
14.46,22.0
14.48,18.0
14.5,21.0
14.52,19.0
14.54,21.0
14.56,17.0
14.58,26.0
14.6,15.0
14.62,29.0
14.64,19.0
14.66,31.0
14.68,18.0
14.7,17.0
14.72,18.0
14.74,15.0
14.76,13.0
14.78,19.0
14.8,20.0
14.82,26.0
14.84,20.0
14.86,22.0
14.88,29.0
14.9,18.0
14.92,22.0
14.94,15.0
14.96,31.0
14.98,17.0
15.0,22.0
15.02,20.0
15.04,22.0
15.06,20.0
15.08,12.0
15.1,14.0
15.12,23.0
15.14,21.0
15.16,16.0
15.18,24.0
15.2,14.0
15.22,12.0
15.24,24.0
15.26,19.0
15.28,18.0
15.3,18.0
15.32,23.0
15.34,21.0
15.36,13.0
15.38,22.0
15.4,27.0
15.42,13.0
15.44,25.0
15.46,14.0
15.48,19.0
15.5,25.0
15.52,13.0
15.54,26.0
15.56,19.0
15.58,15.0
15.6,23.0
15.62,30.0
15.64,21.0
15.66,28.0
15.68,17.0
15.7,18.0
15.72,15.0
15.74,21.0
15.76,22.0
15.78,30.0
15.8,24.0
15.82,20.0
15.84,26.0
15.86,21.0
15.88,17.0
15.9,19.0
15.92,19.0
15.94,21.0
15.96,23.0
15.98,17.0
16.0,24.0
16.02,22.0
16.04,23.0
16.06,24.0
16.08,22.0
16.1,18.0
16.12,16.0
16.14,26.0
16.16,29.0
16.18,26.0
16.2,31.0
16.22,27.0
16.24,23.0
16.26,31.0
16.28,25.0
16.3,32.0
16.32,23.0
16.34,30.0
16.36,27.0
16.38,22.0
16.4,19.0
16.42,15.0
16.44,27.0
16.46,26.0
16.48,17.0
16.5,28.0
16.52,23.0
16.54,19.0
16.56,22.0
16.58,29.0
16.6,19.0
16.62,31.0
16.64,33.0
16.66,19.0
16.68,16.0
16.7,25.0
16.72,24.0
16.74,17.0
16.76,20.0
16.78,18.0
16.8,15.0
16.82,24.0
16.84,23.0
16.86,18.0
16.88,24.0
16.9,20.0
16.92,19.0
16.94,26.0
16.96,14.0
16.98,23.0
17.0,32.0
17.02,21.0
17.04,20.0
17.06,25.0
17.08,10.0
17.1,13.0
17.12,23.0
17.14,17.0
17.16,31.0
17.18,22.0
17.2,29.0
17.22,24.0
17.24,19.0
17.26,19.0
17.28,14.0
17.3,19.0
17.32,23.0
17.34,23.0
17.36,26.0
17.38,29.0
17.4,18.0
17.42,25.0
17.44,24.0
17.46,20.0
17.48,24.0
17.5,24.0
17.52,13.0
17.54,22.0
17.56,26.0
17.58,18.0
17.6,30.0
17.62,14.0
17.64,29.0
17.66,14.0
17.68,21.0
17.7,15.0
17.72,16.0
17.74,19.0
17.76,26.0
17.78,18.0
17.8,20.0
17.82,14.0
17.84,21.0
17.86,19.0
17.88,28.0
