5.0	57.0
5.02	55.0
5.04	57.0
5.06	56.0
5.08	68.0
5.1	50.0
5.12	67.0
5.14	56.0
5.16	69.0
5.18	50.0
5.2	66.0
5.22	61.0
5.24	50.0
5.26	47.0
5.28	56.0
5.3	54.0
5.32	56.0
5.34	53.0
5.36	47.0
5.38	49.0
5.4	63.0
5.42	64.0
5.44	46.0
5.46	48.0
5.48	42.0
5.5	44.0
5.52	47.0
5.54	53.0
5.56	55.0
5.58	41.0
5.6	50.0
5.62	50.0
5.64	56.0
5.66	58.0
5.68	57.0
5.7	48.0
5.72	62.0
5.74	50.0
5.76	40.0
5.78	50.0
5.8	47.0
5.82	58.0
5.84	43.0
5.86	56.0
5.88	46.0
5.9	50.0
5.92	62.0
5.94	36.0
5.96	41.0
5.98	38.0
6.0	51.0
6.02	53.0
6.04	43.0
6.06	41.0
6.08	56.0
6.1	53.0
6.12	47.0
6.14	51.0
6.16	47.0
6.18	41.0
6.2	39.0
6.22	38.0
6.24	48.0
6.26	48.0
6.28	42.0
6.3	45.0
6.32	33.0
6.34	40.0
6.36	40.0
6.38	39.0
6.4	39.0
6.42	34.0
6.44	50.0
6.46	32.0
6.48	44.0
6.5	47.0
6.52	48.0
6.54	47.0
6.56	47.0
6.58	43.0
6.6	36.0
6.62	42.0
6.64	50.0
6.66	30.0
6.68	29.0
6.7	43.0
6.72	41.0
6.74	38.0
6.76	38.0
6.78	51.0
6.8	38.0
6.82	48.0
6.84	39.0
6.86	35.0
6.88	47.0
6.9	43.0
6.92	33.0
6.94	40.0
6.96	37.0
6.98	45.0
7.0	39.0
7.02	48.0
7.04	47.0
7.06	32.0
7.08	43.0
7.1	38.0
7.12	42.0
7.14	44.0
7.16	39.0
7.18	47.0
7.2	31.0
7.22	36.0
7.24	40.0
7.26	42.0
7.28	45.0
7.3	40.0
7.32	41.0
7.34	43.0
7.36	36.0
7.38	33.0
7.4	35.0
7.42	36.0
7.44	41.0
7.46	30.0
7.48	43.0
7.5	41.0
7.52	37.0
7.54	52.0
7.56	52.0
7.58	40.0
7.6	50.0
7.62	41.0
7.64	49.0
7.66	53.0
7.68	56.0
7.7	47.0
7.72	58.0
7.74	59.0
7.76	54.0
7.78	79.0
7.8	88.0
7.82	98.0
7.84	89.0
