,5.000000,57.000000
318,11.38,14.0
319,11.4,20.0
320,11.42,25.0
321,11.44,28.0
322,11.46,17.0
323,11.48,19.0
324,11.5,22.0
325,11.52,18.0
326,11.54,21.0
327,11.56,23.0
328,11.58,27.0
329,11.6,18.0
330,11.62,26.0
331,11.64,22.0
332,11.66,19.0
333,11.68,18.0
334,11.7,17.0
335,11.72,23.0
336,11.74,26.0
337,11.76,15.0
338,11.78,20.0
339,11.8,25.0
340,11.82,25.0
341,11.84,29.0
342,11.86,15.0
343,11.88,35.0
344,11.9,33.0
345,11.92,18.0
346,11.94,13.0
347,11.96,29.0
348,11.98,18.0
349,12.0,16.0
350,12.02,23.0
351,12.04,31.0
352,12.06,30.0
353,12.08,25.0
354,12.1,29.0
355,12.12,14.0
356,12.14,15.0
357,12.16,20.0
358,12.18,24.0
359,12.2,21.0
360,12.22,16.0
361,12.24,15.0
362,12.26,20.0
363,12.28,26.0
364,12.3,18.0
365,12.32,25.0
366,12.34,19.0
367,12.36,22.0
368,12.38,21.0
369,12.4,22.0
370,12.42,28.0
371,12.44,19.0
372,12.46,19.0
373,12.48,34.0
374,12.5,26.0
375,12.52,31.0
376,12.54,15.0
377,12.56,21.0
378,12.58,22.0
379,12.6,16.0
380,12.62,19.0
381,12.64,20.0
382,12.66,27.0
383,12.68,28.0
384,12.7,14.0
385,12.72,21.0
386,12.74,25.0
387,12.76,19.0
388,12.78,15.0
389,12.8,23.0
390,12.82,17.0
391,12.84,26.0
392,12.86,24.0
393,12.88,23.0
394,12.9,15.0
395,12.92,19.0
396,12.94,12.0
397,12.96,21.0
398,12.98,17.0
399,13.0,16.0
400,13.02,16.0
401,13.04,27.0
402,13.06,19.0
403,13.08,21.0
404,13.1,22.0
405,13.12,23.0
406,13.14,20.0
407,13.16,26.0
408,13.18,19.0
409,13.2,26.0
410,13.22,19.0
411,13.24,19.0
412,13.26,16.0
413,13.28,22.0
414,13.3,14.0
415,13.32,26.0
416,13.34,26.0
417,13.36,25.0
418,13.38,27.0
419,13.4,18.0
420,13.42,36.0
421,13.44,19.0
422,13.46,17.0
423,13.48,20.0
424,13.5,16.0
425,13.52,18.0
426,13.54,22.0
427,13.56,16.0
428,13.58,23.0
429,13.6,24.0
430,13.62,24.0
431,13.64,30.0
432,13.66,36.0
433,13.68,12.0
434,13.7,21.0
435,13.72,24.0
436,13.74,20.0
437,13.76,19.0
438,13.78,23.0
439,13.8,17.0
440,13.82,17.0
441,13.84,28.0
442,13.86,28.0
443,13.88,20.0
444,13.9,27.0
445,13.92,25.0
446,13.94,25.0
447,13.96,33.0
448,13.98,21.0
449,14.0,27.0
450,14.02,23.0
451,14.04,22.0
452,14.06,14.0
453,14.08,25.0
454,14.1,15.0
455,14.12,21.0
456,14.14,27.0
